,2017,2016,2015,2014,2013
负债占资产比率(%),0.185901879,0.178561241,0.508722596,0.035447685,0.078524813
长期资金占不动产及设备比率(%),0,0,0,0,0
流动比率(%),5.615137636,6.601249032,1.925045056,28.210587,12.73482816
速动比率(%),3.336276795,5.463355834,0,0,0
应收款项周转率,0,0,0,0,0
应收款项周转天数,0,0,0,0,0
存货周转率,0.505183355,0,0,0,0
存货周转天数,712.612552,0,0,0,0
固定资产周转率,11.57558648,19.13108052,0,0,0
总资产周转率,0.131408096,0.448488359,2.279836771,0,1.740323439
ROA=资产收益率,0,0.160960065,0.22063292,0,0
净资产收益率,0,0.196157288,0.3586951,0,0
ROA=税前纯益占实收资本比率,0,0.295708969,0.006801113,0,0
毛利率,0.159568764,0.618704644,0.507303653,0,0.230837061
营业利润率,0,0.364626688,0.209175581,0,0
净利率,0.159568764,0.254077955,0.298128072,0,0.230837061
营业费用率,0.159568764,0.254077955,0.298128072,0,0.230837061
经营安全边际率,0,0.589338858,0.412328158,0,0
EPS=基本每股收益,0,0.27020169,0.003141661,0,0
营收增长率,-0.415162267,53.96896568,0,0,-0.059150806
毛利率,0.159568764,0.618704644,0.507303653,0,0.230837061
营业利润率,0,0.364626688,0.209175581,0,0
净利增长率,0,202.8534056,0,0,0
净资本增长率,0.001306258,376.4375261,1.822239005,-0.470392636,-0.14115478
现金流量比率,0,0.083401425,0,0,0
现金再投资比率,0,0.010516878,0,0,0
